seed,convention,variable,push_in,in_floor95,out_sys,out_floor95,net_in,net_out,intake_at_floor,ratio_ok,drive_above,rankable,signature
15,pairwise,Steel1_goal,0.018822786398887927,0.017479845353083723,0.039001364838220476,0.03641563615514946,0.0013429410458042045,0.002585728683071019,False,False,True,True,False
15,fused_bestkey,Solar1_goal,0.0604203018325906,0.05807476447943024,0.4067206061402663,0.39397358886411915,0.0023455373531603638,0.012747017276147132,False,False,True,True,False
15,fused_bestkey,Steel1_goal,0.047936915403876464,0.047008271871561494,0.25189489174769897,0.24146617668943782,0.0009286435323149697,0.010428715058261151,False,True,True,True,True
16,pairwise,Solar1_goal,0.06602837972359457,0.04879466784616559,0.09029870517823999,0.062297524261183415,0.017233711877428982,0.02800118091705657,False,False,True,True,False
16,pairwise,Steel1_goal,0.014121839884924579,0.013194288250619978,0.031221089578197136,0.030226987749522486,0.0009275516343046006,0.0009941018286746504,False,False,True,True,False
16,fused_bestkey,Solar1_goal,0.06207189020036694,0.0590502905644756,0.40464536358952435,0.3909660032301551,0.0030215996358913463,0.01367936035936923,False,False,True,True,False
16,fused_bestkey,Steel1_goal,0.041713128503534806,0.04110802641501083,0.21003994579518906,0.20330518502919986,0.0006051020885239761,0.006734760765989195,False,True,True,True,True
17,pairwise,Solar1_goal,0.05987614351476615,0.048729506266178904,0.07897922571479053,0.06292136612917028,0.011146637248587249,0.016057859585620254,False,False,True,True,False
17,pairwise,Steel1_goal,0.02501158974493903,0.02367814996018748,0.041849574596437414,0.04235288963502286,0.0013334397847515507,0.0,False,False,False,True,False
17,fused_bestkey,Solar1_goal,0.06074469504631936,0.05714987109400516,0.40455721576671905,0.39528757266018183,0.0035948239523141967,0.009269643106537218,False,False,True,True,False
17,fused_bestkey,Steel1_goal,0.049384514855260894,0.048094496472701316,0.2844484709365967,0.27874402700582335,0.0012900183825595782,0.005704443930773351,False,False,True,True,False
18,pairwise,Solar1_goal,0.06039838482605964,0.049842635103251966,0.0757159919902315,0.062289001405186055,0.010555749722807671,0.01342699058504545,False,False,True,True,False
18,pairwise,Steel1_goal,0.015350615427454467,0.014187022949549115,0.03323328987503549,0.030178692525279424,0.0011635924779053522,0.0030545973497560636,False,False,True,True,False
18,fused_bestkey,Solar1_goal,0.05715879685812684,0.05515212630218832,0.4073746930178209,0.3996865969163162,0.0020066705559385195,0.007688096101504727,False,False,True,True,False
18,fused_bestkey,Steel1_goal,0.038075633505703435,0.037451438565600945,0.21313317816401461,0.20506403652681948,0.0006241949401024904,0.008069141637195132,False,True,True,True,True
19,pairwise,Solar1_goal,0.06084547503668825,0.049218864832711026,0.07848226460574564,0.0636439429841262,0.011626610203977226,0.014838321621619438,False,False,True,True,False
19,pairwise,Steel1_goal,0.019819444670300897,0.018285896344604455,0.040576522464028465,0.03704944458060883,0.0015335483256964412,0.0035270778834196326,False,False,True,True,False
19,fused_bestkey,Solar1_goal,0.059908317009572304,0.05755056861422796,0.40899717127737006,0.3990260964376086,0.0023577483953443473,0.009971074839761451,False,False,True,True,False
19,fused_bestkey,Steel1_goal,0.0484310325086193,0.04752418015533364,0.2534214659448307,0.24443231837964527,0.0009068523532856573,0.008989147565185457,False,True,True,True,True
